,TotalHurricanes,AvgSeaSurfaceCelsius
1956-12-31,-0.5451253117018681,-0.21509820591639098
1957-12-31,-0.9402816511888117,0.6229652169356497
1958-12-31,0.6403437067589628,0.7498747830657018
1959-12-31,0.6403437067589628,0.5884431850559414
1960-12-31,-0.5451253117018681,0.4168193694253922
1961-12-31,1.0355000462459063,0.6374315935146524
1962-12-31,-0.9402816511888117,0.45791702774016985
1963-12-31,0.6403437067589628,0.6492677187305523
1964-12-31,0.24518736727201912,-0.15657513971863574
1965-12-31,-0.5451253117018681,-0.009609918287878067
1966-12-31,0.6403437067589628,0.41813449313425605
1967-12-31,0.24518736727201912,0.19916617664010705
1968-12-31,-0.1499689722149245,0.21494767692797365
1969-12-31,2.616125404193681,0.8715238464695485
1970-12-31,-0.1499689722149245,0.39183199528472845
1971-12-31,0.24518736727201912,-0.3239248003363461
